link_id,startX,startY,endX,endY,length,begin_node_id,end_node_id,travel_time,carbon_emission
1,129.1894847,35.57185855,129.1895241,35.5718099,6.472396088,44,117,1.294479218,0.4
2,129.1875493,35.57179848,129.1874662,35.57181587,7.776070009,1,64,1.555214002,0.4
3,129.1875493,35.57179848,129.1876398,35.57177975,8.462813541,1,2,1.692562708,0.4
4,129.1876398,35.57177975,129.1877242,35.57175978,7.965121873,2,3,1.593024375,0.4
5,129.1876398,35.57177975,129.1877948,35.5717423,14.65205081,2,4,2.930410162,0.4
6,129.1877242,35.57175978,129.1877948,35.5717423,6.687206353,3,4,1.337441271,0.4
7,129.1877242,35.57175978,129.1878577,35.57172732,12.62613087,3,5,2.525226174,0.4
8,129.1877948,35.5717423,129.1878577,35.57172732,5.939101654,4,5,1.187820331,0.4
9,129.1877948,35.5717423,129.1879219,35.57171528,11.90508655,4,57,2.381017309,0.4
10,129.1878577,35.57172732,129.1879219,35.57171528,5.970993327,5,57,1.194198665,0.4
11,129.1878577,35.57172732,129.187944,35.57177481,9.431969038,5,56,1.886393808,0.4
12,129.1880312,35.57171983,129.1881355,35.57172108,9.455673515,6,7,1.891134703,0.4
13,129.1880312,35.57171983,129.1879219,35.57171528,9.920752732,6,57,1.984150546,0.4
14,129.1881355,35.57172108,129.1882215,35.57171983,7.79701925,7,8,1.55940385,0.4
15,129.1882215,35.57171983,129.1883105,35.57172108,8.068923688,8,9,1.613784738,0.4
16,129.1883105,35.57172108,129.1884087,35.57172483,8.911417398,9,10,1.78228348,0.4
17,129.1884087,35.57172483,129.1884962,35.57172732,7.936567986,10,11,1.587313597,0.4
18,129.1884962,35.57172732,129.1886142,35.5717368,10.748131,11,52,2.1496262,0.4
19,129.1884962,35.57172732,129.1886124,35.57178485,12.31644398,11,51,2.463288797,0.4
20,129.1886988,35.57175104,129.1887709,35.57177601,7.098705369,12,13,1.419741074,0.4
21,129.1886988,35.57175104,129.1886142,35.5717368,7.829934216,12,52,1.565986843,0.4
22,129.1887709,35.57177601,129.1888522,35.57180222,7.922724028,13,14,1.584544806,0.4
24,129.1888522,35.57180222,129.1889336,35.57182968,7.983048905,14,15,1.596609781,0.4
26,129.1889336,35.57182968,129.188998,35.57185091,6.295065424,15,16,1.259013085,0.4
28,129.188998,35.57185091,129.189072,35.57186429,6.870294656,16,49,1.374058931,0.4
30,129.1873691,35.57176674,129.187393,35.57183237,7.597181511,17,63,1.519436302,0.4
31,129.1873691,35.57176674,129.1874662,35.57181587,10.3531885,17,64,2.070637699,0.4
32,129.1905266,35.5730677,129.1904341,35.57308462,8.592445425,19,21,1.718489085,0.4
33,129.1903721,35.57296253,129.1904145,35.57294661,4.229897131,20,22,0.845979426,0.4
34,129.1903721,35.57296253,129.190317,35.57286487,11.9312378,20,23,2.38624756,0.4
35,129.1904145,35.57294661,129.190317,35.57286487,12.6633976,22,23,2.532679521,0.4
36,129.190317,35.57286487,129.1902755,35.5727996,8.16057624,23,24,1.632115248,0.4
37,129.1902755,35.5727996,129.1902305,35.57274222,7.561089748,24,25,1.51221795,0.4
38,129.1902755,35.5727996,129.1901917,35.57268986,14.35105089,24,26,2.870210178,0.4
39,129.1902305,35.57274222,129.1901917,35.57268986,6.791118553,25,26,1.358223711,0.4
40,129.1902305,35.57274222,129.1902358,35.57267049,7.973010309,25,27,1.594602062,0.4
41,129.1901917,35.57268986,129.1902358,35.57267049,4.53863464,26,27,0.907726928,0.4
42,129.1901917,35.57268986,129.1901293,35.57270241,5.825275592,26,67,1.165055118,0.4
43,129.1902358,35.57267049,129.1901556,35.57264108,7.96866672,27,28,1.593733344,0.4
44,129.1902358,35.57267049,129.1901293,35.57270241,10.28307981,27,67,2.056615961,0.4
45,129.1901556,35.57264108,129.1901247,35.57259088,6.234399179,28,29,1.246879836,0.4
46,129.1901556,35.57264108,129.1901293,35.57270241,7.210174036,28,67,1.442034807,0.4
47,129.1901247,35.57259088,129.1900824,35.57253206,7.569224708,29,30,1.513844942,0.4
48,129.1901247,35.57259088,129.1901293,35.57270241,12.38139949,29,67,2.476279899,0.4
49,129.1900824,35.57253206,129.1900357,35.57248257,6.93333738,30,31,1.386667476,0.4
50,129.1900357,35.57248257,129.1899733,35.57242519,8.516211907,31,32,1.703242381,0.4
51,129.1899733,35.57242519,129.1899062,35.57235777,9.641147838,32,33,1.928229568,0.4
52,129.1899062,35.57235777,129.1898375,35.57230612,8.462978836,33,34,1.692595767,0.4
53,129.1899062,35.57235777,129.1898075,35.57227313,12.97062307,33,35,2.594124614,0.4
54,129.1898375,35.57230612,129.1898075,35.57227313,4.559932345,34,35,0.911986469,0.4
55,129.1898375,35.57230612,129.1898375,35.57224874,6.366373644,34,36,1.273274729,0.4
56,129.1898075,35.57227313,129.1898375,35.57224874,3.83644701,35,36,0.767289402,0.4
57,129.1898075,35.57227313,129.1897563,35.5722387,6.011099207,35,37,1.202219841,0.4
58,129.1898375,35.57224874,129.1897563,35.5722387,7.444438934,36,37,1.488887787,0.4
59,129.1898375,35.57224874,129.1897486,35.57231419,10.84777414,36,61,2.169554827,0.4
60,129.1897563,35.5722387,129.1896858,35.57220284,7.528017065,37,38,1.505603413,0.4
61,129.1897563,35.5722387,129.1897486,35.57231419,8.404731138,37,61,1.680946228,0.4
62,129.1896858,35.57220284,129.189617,35.5721598,7.854865609,38,39,1.570973122,0.4
63,129.1896858,35.57220284,129.1897486,35.57231419,13.60287156,38,61,2.720574311,0.4
64,129.189617,35.5721598,129.1895271,35.57210672,10.0545674,39,40,2.010913481,0.4
65,129.1895271,35.57210672,129.1894468,35.57206441,8.661493999,40,41,1.7322988,0.4
66,129.1894468,35.57206441,129.1893453,35.5720316,9.894775945,41,115,1.978955189,0.4
67,129.1894468,35.57206441,129.1893453,35.5720316,9.894775945,41,115,1.978955189,0.4
68,129.1893657,35.57198049,129.1893453,35.5720316,5.964611502,42,115,1.1929223,0.4
69,129.1893657,35.57198049,129.1893453,35.5720316,5.964611502,42,115,1.1929223,0.4
70,129.1894327,35.57190804,129.1894847,35.57185855,7.236705835,43,44,1.447341167,0.4
72,129.1894847,35.57185855,129.1895241,35.5718099,6.47239609,44,117,1.294479218,0.4
73,129.1892899,35.57193889,129.1892466,35.57191378,4.81330728,45,46,0.962661456,0.4
74,129.1892899,35.57193889,129.1892828,35.57187361,7.271425975,45,47,1.454285195,0.4
75,129.1892466,35.57191378,129.1892828,35.57187361,5.534625535,46,47,1.106925107,0.4
76,129.1892466,35.57191378,129.1891726,35.57188653,7.357862174,46,48,1.471572435,0.4
77,129.1892828,35.57187361,129.1891726,35.57188653,10.09179236,47,48,2.018358473,0.4
78,129.1892828,35.57187361,129.1891653,35.5719641,14.63723929,47,113,2.927447857,0.4
79,129.1891726,35.57188653,129.1891653,35.5719641,8.631877839,48,113,1.726375568,0.4
81,129.189072,35.57186429,129.1890471,35.57191934,6.511576819,49,58,1.302315364,0.4
82,129.189072,35.57186429,129.1890109,35.571978,13.77846225,49,98,2.755692451,0.4
83,129.1886045,35.57183434,129.1885978,35.5718776,4.8380171,50,101,0.96760342,0.4
84,129.1886045,35.57183434,129.1886124,35.57178485,5.537470077,50,51,1.107494015,0.4
85,129.1886124,35.57178485,129.1886142,35.5717368,5.33369588,51,52,1.066739176,0.4
86,129.1886124,35.57178485,129.1885978,35.5718776,10.37546835,51,101,2.075093671,0.4
87,129.1879863,35.57193763,129.1879722,35.57188886,5.559989623,53,54,1.111997925,0.4
88,129.1879863,35.57193763,129.1879085,35.5719518,7.225562121,53,105,1.445112424,0.4
89,129.1879722,35.57188886,129.1879572,35.57182717,6.978325763,54,55,1.395665153,0.4
90,129.1879722,35.57188886,129.1879085,35.5719518,9.061376719,54,105,1.812275344,0.4
91,129.1879572,35.57182717,129.187944,35.57177481,5.931346569,55,56,1.186269314,0.4
92,129.1879572,35.57182717,129.1879219,35.57171528,12.82008548,55,57,2.564017096,0.4
93,129.187944,35.57177481,129.1879219,35.57171528,6.90204982,56,57,1.380409964,0.4
94,129.1890471,35.57191934,129.1890109,35.571978,7.288841581,58,98,1.457768316,0.4
96,129.1896366,35.57238305,129.1895996,35.5723467,5.24545642,59,94,1.049091284,0.4
97,129.1896366,35.57238305,129.1896841,35.5724296,6.724179085,59,93,1.344835817,0.4
98,129.1896984,35.57234934,129.1897486,35.57231419,5.993060372,60,61,1.198612074,0.4
99,129.1896984,35.57234934,129.1895996,35.5723467,8.960807448,60,94,1.79216149,0.4
100,129.1897486,35.57231419,129.1895996,35.5723467,13.97989538,61,94,2.795979075,0.4
101,129.1897486,35.57231419,129.1896841,35.5724296,14.07656071,61,93,2.815312142,0.4
102,129.187408,35.57188043,129.187393,35.57183237,5.502942839,62,63,1.100588568,0.4
103,129.187408,35.57188043,129.1874606,35.5719311,7.371602822,62,110,1.474320564,0.4
104,129.187393,35.57183237,129.1874662,35.57181587,6.883382433,63,64,1.376676487,0.4
105,129.187393,35.57183237,129.1874606,35.5719311,12.55168941,63,110,2.510337881,0.4
