longitude,latitude
-73.9567,40.6208
-73.9555,40.621
-73.955,40.6186
-73.9547,40.6169
-73.9545,40.6162
-73.9536,40.6163
-73.9535,40.6159
-73.9524,40.6151
-73.9513,40.6143
-73.9512,40.6138
-73.9508,40.6117
-73.9498,40.6114
-73.9488,40.6115
-73.9479,40.6116
-73.9469,40.6117
-73.946,40.6118
-73.9451,40.6119
-73.9441,40.612
-73.9438,40.6107
-73.9434,40.6104
-73.9435,40.6092
-73.9423,40.6082
-73.9415,40.6076
-73.9412,40.6072
-73.9405,40.6066
-73.94,40.6062
-73.9392,40.6055
-73.9377,40.6042
-73.9366,40.6031
-73.9353,40.6015
-73.9342,40.6006
-73.9332,40.6001
-73.9329,40.5998
-73.9317,40.5983
-73.9299,40.5971
-73.9302,40.5967
