longitude,latitude
129.19067670,35.57315439
129.19052660,35.57306770
129.19043410,35.57308462
129.19037210,35.57296253
129.19031700,35.57286487
129.19027550,35.57279960
129.19019170,35.57268986
129.19015560,35.57264108
129.19012470,35.57259088
129.19008240,35.57253206
129.19003570,35.57248257
129.18997330,35.57242519
129.18990620,35.57235777
129.18980750,35.57227313
129.18975630,35.57223870
129.18968580,35.57220284
129.18961700,35.57215980
129.18952710,35.57210672
129.18944680,35.57206441
129.18934530,35.57203160
129.18936570,35.57198049
129.18928990,35.57193889
129.18924660,35.57191378
129.18917260,35.57188653
129.18907200,35.57186429
129.18899800,35.57185091
129.18893360,35.57182968
129.18885220,35.57180222
129.18877090,35.57177601
129.18869880,35.57175104
129.18861420,35.57173680
129.18849620,35.57172732
129.18840870,35.57172483
129.18831050,35.57172108
129.18822150,35.57171983
129.18813550,35.57172108
129.18803120,35.57171983
129.18792190,35.57171528
129.18779480,35.57174230
129.18763980,35.57177975
129.18754930,35.57179848
